Date/Time,Word Count,ar,de,en,es,es-419,fr,it,ja,ko,pl,pt-BR,ru,tr,zh-Hans,zh-Hant
2022.02.09-23.43.52,3805,0,0,3805,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.10-02.31.39,3786,0,0,3786,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.10-03.08.00,3805,0,0,3805,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.10-05.30.17,3785,0,0,3785,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.10-20.20.22,3851,0,0,3851,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.10-20.36.51,3747,0,0,3747,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.10-21.39.54,3851,0,0,3851,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.10-23.36.48,3747,0,0,3747,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.11-02.38.43,3660,0,0,3660,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.11-08.36.17,3642,0,0,3642,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.13-13.21.03,3754,0,0,3754,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.13-13.21.17,3754,0,0,3750,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.13-13.39.18,3754,0,0,3754,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.14-05.59.35,2710,0,0,2710,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.14-23.41.17,2709,0,0,2709,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.16-18.21.35,2694,0,0,2694,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.16-23.37.12,2688,0,0,2688,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.17-20.33.51,2477,0,0,2477,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.18-06.33.53,2453,0,0,2453,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.18-06.34.06,2453,0,0,2421,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.18-08.35.15,2453,0,0,2453,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.18-23.22.50,2455,0,0,2455,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.19-06.14.31,2437,0,0,2437,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.20-14.14.25,2500,0,0,2500,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.22-08.40.59,2442,0,0,2442,0,0,0,0,0,0,0,0,0,0,4,0
2022.02.22-18.30.25,2442,2163,2163,2442,2163,2163,2163,2163,2163,2163,2163,2163,2163,2163,2163,0
2022.02.22-19.36.32,2405,2110,2110,2405,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,0
2022.02.22-19.36.46,2405,2110,2110,2403,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,0
2022.02.22-20.17.16,2405,2110,2110,2405,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,2110,0
2022.02.23-23.37.53,2414,2104,2104,2414,2104,2104,2104,2104,2104,2104,2104,2104,2104,2104,2104,0
2022.02.23-23.38.07,2414,2104,2104,2410,2104,2104,2104,2104,2104,2104,2104,2104,2104,2104,2104,0
2022.02.24-02.29.25,2444,2104,2104,2444,2104,2104,2104,2104,2104,2104,2104,2104,2104,2104,2104,0
2022.02.24-06.08.23,2443,2103,2103,2443,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103,0
2022.02.25-20.16.48,2451,2094,2094,2451,2094,2094,2094,2094,2094,2094,2094,2094,2094,2094,2094,0
2022.02.25-20.17.02,2451,2094,2094,2449,2094,2094,2094,2094,2094,2094,2094,2094,2094,2094,2094,0
2022.02.25-20.34.35,2451,2094,2094,2451,2094,2094,2094,2094,2094,2094,2094,2094,2094,2094,2094,0
2022.02.27-13.49.22,2454,2094,2094,2454,2094,2094,2094,2094,2094,2094,2094,2094,2094,2094,2094,0
2022.02.27-20.39.28,2308,1951,1951,2308,1951,1951,1951,1951,1951,1951,1951,1951,1951,1951,1951,0
2022.02.27-21.46.24,2323,1948,1948,2323,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,0
2022.02.27-21.46.37,2323,1948,1948,2321,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,0
2022.02.27-23.38.49,2323,1948,1948,2323,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,0
2022.02.28-02.30.46,2282,1914,1914,2282,1914,1914,1914,1914,1914,1914,1914,1914,1914,1914,1914,0
2022.02.28-06.13.23,2286,1914,1914,2286,1914,1914,1914,1914,1914,1914,1914,1914,1914,1914,1914,0
2022.02.28-14.34.17,2286,2201,2201,2286,2201,2201,2201,2201,2201,2201,2201,2201,2201,2201,2201,0
2022.03.02-08.36.44,2282,2197,2197,2282,2197,2197,2197,2197,2197,2197,2197,2197,2197,2197,2197,0
2022.03.03-17.47.25,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,0
2022.03.07-23.46.44,2269,2269,2269,2269,2269,2269,2269,2269,2269,2269,2269,2269,2269,2269,2269,0
2022.03.15-17.47.01,2642,2269,2269,2642,2269,2269,2269,2269,2269,2269,2269,2269,2269,2269,2269,0
2022.03.15-22.43.47,2655,2267,2267,2655,2267,2267,2267,2267,2267,2267,2267,2267,2267,2267,2267,0
2022.03.16-01.35.45,2647,2267,2267,2647,2267,2267,2267,2267,2267,2267,2267,2267,2267,2267,2267,0
2022.03.16-05.14.30,2663,2267,2267,2663,2267,2267,2267,2267,2267,2267,2267,2267,2267,2267,2267,0
2022.03.16-05.14.43,2663,2267,2267,2658,2267,2267,2267,2267,2267,2267,2267,2267,2267,2267,2267,0
2022.03.16-07.35.49,2663,2267,2267,2663,2267,2267,2267,2267,2267,2267,2267,2267,2267,2267,2267,0
2022.03.16-16.49.50,2663,2293,2293,2663,2293,2293,2293,2293,2293,2293,2293,2293,2293,2293,2293,0
2022.03.21-16.01.32,2663,2663,2663,2663,2663,2663,2663,2663,2663,2293,2663,2663,2663,2663,2663,0
2022.03.24-20.58.31,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,0
2022.05.20-05.41.34,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,2663,0
